content,content_clean
buruk!!!,buruk
"Setelah melakukan perbarui aplikasi, sekarang tidak bisa muncul notifikasi di edlink, mohon saran atau perbaikan terimakasih",Setelah melakukan perbarui aplikasi sekarang tidak bisa muncul notifikasi di edlink mohon saran atau perbaikan terimakasih
"Semejak update an baru malah notifikasi tugas dan materinya tidak muncul , mohon diperbaiki secepat mungkin karena kami terkendala dan dapat mengakibatkan cedera di matakuliah",Semejak update an baru malah notifikasi tugas dan materinya tidak muncul  mohon diperbaiki secepat mungkin karena kami terkendala dan dapat mengakibatkan cedera di matakuliah
"Notifikasi telat cuyy, eror Mulu ngerjain quiz jadi salah Mulu,notifikasi sulit eror elit🤨",Notifikasi telat cuyy eror Mulu ngerjain quiz jadi salah Mulunotifikasi sulit eror elit🤨
Notifikasi nya error,Notifikasi nya error
notifnya telat,notifnya telat
"Apaan notifikasi tidak muncul, giliran udah lewat 1-2 hari baru spam notifikasi ganggu banget, bisa engga di buat jeda 1 tahun sekalian gitu?",Apaan notifikasi tidak muncul giliran udah lewat  hari baru spam notifikasi ganggu banget bisa engga di buat jeda  tahun sekalian gitu
Notifikasinya tidak pernah muncul.. mohon diperbaiki ya developer🥲🙏,Notifikasinya tidak pernah muncul mohon diperbaiki ya developer🥲
Presensi di absen scan kode QR nya susah tiba tiba blur dan tidak fokus,Presensi di absen scan kode QR nya susah tiba tiba blur dan tidak fokus
"Kenapa setelah di update jadi tidak ada notifikasi nya membuat saya kesulitan. Sebelum di update memang ada notifikasi nya tetapi setelah di update kenapa tidak ada, tolong di perbaiki. Terima Kasih 🙏",Kenapa setelah di update jadi tidak ada notifikasi nya membuat saya kesulitan Sebelum di update memang ada notifikasi nya tetapi setelah di update kenapa tidak ada tolong di perbaiki Terima Kasih
Kok malah aplikasi nya gak tampil di layar ya,Kok malah aplikasi nya gak tampil di layar ya
Excellent,Excellent
"Edlinknya kdng suka error, pemberitahuannya suka delay dan terkadang ada pemberitahuan yg nggak masuk. Saya harap ditingkatkan lgii untuk aplikasinya",Edlinknya kdng suka error pemberitahuannya suka delay dan terkadang ada pemberitahuan yg nggak masuk Saya harap ditingkatkan lgii untuk aplikasinya
"Setelah di update jadi gk ada norifikasi, entah itu tugas atau diskusi dari dosen",Setelah di update jadi gk ada norifikasi entah itu tugas atau diskusi dari dosen
Update yang sekarang lebih keren lebih simpel,Update yang sekarang lebih keren lebih simpel
"UInya berantakan, uxnya juga ribet",UInya berantakan uxnya juga ribet
Terlalu sering update payah,Terlalu sering update payah
"Aku suka tampilan beranda yang baru, di paling atas ada jadwal kuliah nya dan ada tenggat waktu mata pelajaran dimulai misal : 26 menit lagi (jam kuliah b.indo akan di mulai), jadi gak perlu cek manual di jadwal + mengira-ngira waktu, karena udah ada di beranda",Aku suka tampilan beranda yang baru di paling atas ada jadwal kuliah nya dan ada tenggat waktu mata pelajaran dimulai misal   menit lagi jam kuliah bindo akan di mulai jadi gak perlu cek manual di jadwal  mengirangira waktu karena udah ada di beranda
"permisi mau tanya, itu peringkat kuis yang sekarang berdasarkan apa ya? kalau yg sebelumnya kan berdasarkan waktu. terimakasih kak.",permisi mau tanya itu peringkat kuis yang sekarang berdasarkan apa ya kalau yg sebelumnya kan berdasarkan waktu terimakasih kak
"Kenapa di akun saya ketika dowload tugas dari dosen tidak bisa menggunakan kuota sendir,semua file tidak terdownload jika dengan kuota, hanya bisa dengan wifi",Kenapa di akun saya ketika dowload tugas dari dosen tidak bisa menggunakan kuota sendirsemua file tidak terdownload jika dengan kuota hanya bisa dengan wifi
Tolong tambahin fitur kirim tugas video dong masa iya gak ada kan nyusahin,Tolong tambahin fitur kirim tugas video dong masa iya gak ada kan nyusahin
"""Uwow"" kata Panjul untuk edlink",Uwow kata Panjul untuk edlink
"Tolong di bantu perbaikin sistem nya harus menyesuaikan dengan beberapa device meskipun versi lama (misal android 5) agar dapat menggunakan fitur kuis diaplikasinya, soalnya gak bisa menggunakan kuis di versi android 5 :V",Tolong di bantu perbaikin sistem nya harus menyesuaikan dengan beberapa device meskipun versi lama misal android  agar dapat menggunakan fitur kuis diaplikasinya soalnya gak bisa menggunakan kuis di versi android  V
Aman,Aman
Mimpi buruk,Mimpi buruk
Tolong perbaiki masalah untuk saat melakukan scan barcode tetapi tidak kedetek,Tolong perbaiki masalah untuk saat melakukan scan barcode tetapi tidak kedetek
"Ini kn setiap kami instal dan slesai ,stelah itu kembali lgi ketahap awal utk instal kembali . Mohon bantuanya !",Ini kn setiap kami instal dan slesai stelah itu kembali lgi ketahap awal utk instal kembali  Mohon bantuanya
Download KTM di edlink ndk biasa buka Tolong di perbaiki,Download KTM di edlink ndk biasa buka Tolong di perbaiki
"Ok, saya ada kendala",Ok saya ada kendala
Bagus,Bagus
"Tiba"" kelas saya hilang",Tiba kelas saya hilang
Mantap,Mantap
"membingungkan anjir tampilannya, login mulu, banyak fitur gak guna + berita² mengganggu",membingungkan anjir tampilannya login mulu banyak fitur gak guna  berita² mengganggu
Aplikasi yang sangat menjengkelkan ketika verifikasi gak bisa bisa taik,Aplikasi yang sangat menjengkelkan ketika verifikasi gak bisa bisa taik
Sekarang udah banyak perbaikan semoga aja makin banyak perbaikan bugnya,Sekarang udah banyak perbaikan semoga aja makin banyak perbaikan bugnya
"Sistem perkuliahan kacau, gak otomatis update, udah kayak robot",Sistem perkuliahan kacau gak otomatis update udah kayak robot
"Bagaimana cara masuknya, loading terus, tidak bisa masuk ke aplikasinya? Mohon jawabannya",Bagaimana cara masuknya loading terus tidak bisa masuk ke aplikasinya Mohon jawabannya
M.rohid tampan dan pemberani,Mrohid tampan dan pemberani
"Tampilan sekarang beranda nya ancur ga se simple yg dulu, setiap dosen memberikan materi harus buka di menu kelas , menghambat banget. Tolong kembalikan ke versi yang dulu beranda nya",Tampilan sekarang beranda nya ancur ga se simple yg dulu setiap dosen memberikan materi harus buka di menu kelas  menghambat banget Tolong kembalikan ke versi yang dulu beranda nya
Kak ini gimana misalkan file penuh kok gabisa dihapus,Kak ini gimana misalkan file penuh kok gabisa dihapus
Saya tidak bisa masuk ke edlink tolong di bantu,Saya tidak bisa masuk ke edlink tolong di bantu
Sangat membantu sekali dalam hal akademik,Sangat membantu sekali dalam hal akademik
Maaf banget ini edlink suka susah nge upload tugas padahal mepet deadline tapi suka gabisa harus di upgrade giliran mau di upgrade da ga perlu di upgrade,Maaf banget ini edlink suka susah nge upload tugas padahal mepet deadline tapi suka gabisa harus di upgrade giliran mau di upgrade da ga perlu di upgrade
Segala harus android 13 !!!,Segala harus android
"Tolong perbaiki fitur download filenya... kok susah download, notifikasi susah muncul.. kukira ga respon atau gimana, jadi pencet 2 atu 3x lagi dan ternyata notif downloadnya telat muncul.. alhasil file yang ke download jadi numpuk.. Terus kadang juga proses download gagal. Tolong fix ya min ;)",Tolong perbaiki fitur download filenya kok susah download notifikasi susah muncul kukira ga respon atau gimana jadi pencet  atu x lagi dan ternyata notif downloadnya telat muncul alhasil file yang ke download jadi numpuk Terus kadang juga proses download gagal Tolong fix ya min
"Bang, sering nge bug bg apknya kayak pas main nembus tembok di mid lane",Bang sering nge bug bg apknya kayak pas main nembus tembok di mid lane
Bang kok ga bisa beli hero baru?,Bang kok ga bisa beli hero baru
Sangat puas,Sangat puas
"Kenapa sih sehabis update mau masuk tapi gabisa"" di kode verifikasi akun, padahal udah sama tapi bilangnya VALIDATION DIGITS_BETWEEN mulu. Udah mau lewat deadline nggak bisa submit karna gabisa masuk.",Kenapa sih sehabis update mau masuk tapi gabisa di kode verifikasi akun padahal udah sama tapi bilangnya VALIDATION DIGITSBETWEEN mulu Udah mau lewat deadline nggak bisa submit karna gabisa masuk
Jelek banget aplikasinya makanya sayah kasih 5 bintang,Jelek banget aplikasinya makanya sayah kasih  bintang
Saya tiap ada pelajaran online join zoom via Edlink😤😤Selalu gak bisa😤malah jadi kayak error kluar zoom mulu Tolong diperbaiki,Saya tiap ada pelajaran online join zoom via EdlinkSelalu gak bisamalah jadi kayak error kluar zoom mulu Tolong diperbaiki
woi kelas gw ilang semua asu gimana mau ngumpulin tugas bgst,woi kelas gw ilang semua asu gimana mau ngumpulin tugas bgst
Dosen gak masuk suruh absensi pakai edlink scane barcode tapi gak bisa 😭,Dosen gak masuk suruh absensi pakai edlink scane barcode tapi gak bisa
"Tolong tambahkan fitur zoom untuk presensi QR nya, saya malas ke depan.",Tolong tambahkan fitur zoom untuk presensi QR nya saya malas ke depan
Baik,Baik
"kendala saya tidak bisa scan barcode asben,jadi absen harus langsung ke dosen gimana ya?",kendala saya tidak bisa scan barcode asbenjadi absen harus langsung ke dosen gimana ya
الحمد لله Mantap,الحمد لله Mantap
"Kenapa akun ku tiba2 kluar, stelah masuk kembali ke akun kenapa semua data sya terhapus",Kenapa akun ku tiba kluar stelah masuk kembali ke akun kenapa semua data sya terhapus
ini knp ya aku mau masuk ke apknya tapi loading trs padahal make WiFi,ini knp ya aku mau masuk ke apknya tapi loading trs padahal make WiFi
"apk nya kalo lagi buru buru mau dibuka malah ga kebuka buka cuma loading doang lama , padahal wifi kenceng , ga jelas",apk nya kalo lagi buru buru mau dibuka malah ga kebuka buka cuma loading doang lama  padahal wifi kenceng  ga jelas
"Sangat buruk, untuk ganti pasword saja sulit, mepet deadline suka eror,",Sangat buruk untuk ganti pasword saja sulit mepet deadline suka eror
Ok 👌 mantap 👍👍,Ok  mantap
Dowload mteri filenya rusak mulu,Dowload mteri filenya rusak mulu
Ini gmn yak saya mau login tetapi email yg saya masukkin sudah digunakan terus pdhl saya belum pernah masuk dgn email tersebut. Di web siakad sudah saya cantumkan sesuai email saya. Tolong dong gmnnnnn...,Ini gmn yak saya mau login tetapi email yg saya masukkin sudah digunakan terus pdhl saya belum pernah masuk dgn email tersebut Di web siakad sudah saya cantumkan sesuai email saya Tolong dong gmnnnnn
kenapa tidak bisa di buka di hp saya?awalnya baik2 saja,kenapa tidak bisa di buka di hp sayaawalnya baik saja
Bagus,Bagus
Masa cuma gua dong kaga bisa aplod tugas Sedangkan temen gua pada bisa aplod tugas Tolong di perbaikin lagih,Masa cuma gua dong kaga bisa aplod tugas Sedangkan temen gua pada bisa aplod tugas Tolong di perbaikin lagih
Wuiz bagus by fajar lazuardi,Wuiz bagus by fajar lazuardi
Bagus semoga lebih baik lgi,Bagus semoga lebih baik lgi
"Pas buka materi gak bisa kebuka, tulisanya ""berkas sedang di unduh"" tapi gak ada berkas yang bisa di buka aneh banget",Pas buka materi gak bisa kebuka tulisanya berkas sedang di unduh tapi gak ada berkas yang bisa di buka aneh banget
Aplikasi nya kenapa ya sering banget loading nya lamaaaaaa pas buka app,Aplikasi nya kenapa ya sering banget loading nya lamaaaaaa pas buka app
Jelek banget ini aplikasi nyusahin orang aja,Jelek banget ini aplikasi nyusahin orang aja
Gbisa donlot,Gbisa donlot
Sevima kenapa yaa baru download langsung keluar lagi,Sevima kenapa yaa baru download langsung keluar lagi
"Inpo Bantuan dong , edlink saya eror dan tak bIsa amasuk lagi ke akun saya",Inpo Bantuan dong  edlink saya eror dan tak bIsa amasuk lagi ke akun saya
Lumayan,Lumayan
Good banget yaaa,Good banget yaaa
"Masukin kode verifikasi gagal teru, Jadi bolos absen jadinya, mau sampai semester selesai?",Masukin kode verifikasi gagal teru Jadi bolos absen jadinya mau sampai semester selesai
Good,Good
mantap,mantap
"setelah di update, opsi data akademik nya malah di hapus padhal sangat membantu",setelah di update opsi data akademik nya malah di hapus padhal sangat membantu
"sayangilah orang lain seperti kita menyayangi diri sendiri. berkatalah yang benar meskipun itu pahit, siapa yang banyak menyebut sesuatu maka sungguh dia banyak menyebutnya. jangan berhenti berbuat baik walaupun sesulit apapun. jadilah diri sendiri. jangan bersedih kepada sesuatu hal yang tidak patut kau tangisi, berbagilah ilmu walu satu ayat, jangan pernah menghinakan orang lain, karena itu sangat menyakitkan bagi dirimu dan orang lain.. bertaqwalah kepada allah jangan pernah berhenti.. jaya",sayangilah orang lain seperti kita menyayangi diri sendiri berkatalah yang benar meskipun itu pahit siapa yang banyak menyebut sesuatu maka sungguh dia banyak menyebutnya jangan berhenti berbuat baik walaupun sesulit apapun jadilah diri sendiri jangan bersedih kepada sesuatu hal yang tidak patut kau tangisi berbagilah ilmu walu satu ayat jangan pernah menghinakan orang lain karena itu sangat menyakitkan bagi dirimu dan orang lain bertaqwalah kepada allah jangan pernah berhenti jaya
"gimana si edlink ini malah force close terus gabisa masuk, dari dulu gaada perbaikan bug",gimana si edlink ini malah force close terus gabisa masuk dari dulu gaada perbaikan bug
Setelah di-update tidak bisa melihat Akreditasi. Mohon agar menu ini dimunculkan kembali seperti versi sebelumnya. Terimakasih.,Setelah diupdate tidak bisa melihat Akreditasi Mohon agar menu ini dimunculkan kembali seperti versi sebelumnya Terimakasih
Sangat membantu untuk mahasiswa,Sangat membantu untuk mahasiswa
Masukkan kode verifikasi sudah benar tapi di baca sama aplikasi salah... Berulang gt trus,Masukkan kode verifikasi sudah benar tapi di baca sama aplikasi salah Berulang gt trus
aplikasi sering buffering padahal koneksi internet lancar,aplikasi sering buffering padahal koneksi internet lancar
"Saya sedikit curhat, Waktu dikampus saya Ada absen pakai Code QR, cuman Pas saya arahin Kamera ke codenya malah Buram alias tidak bisa scan ,hal hasil saya sendiri Ga bisa absen Tolong Solusinya😭",Saya sedikit curhat Waktu dikampus saya Ada absen pakai Code QR cuman Pas saya arahin Kamera ke codenya malah Buram alias tidak bisa scan hal hasil saya sendiri Ga bisa absen Tolong Solusinya
Saya mengikuti prosedur,Saya mengikuti prosedur
"sangat buruk ,mending beralih buatan kampus sendiri malah di ganti ke pemerintah",sangat buruk mending beralih buatan kampus sendiri malah di ganti ke pemerintah
Versi baru kenapa selalu forcedown sendiri/keluar sendiri? Lebih ok versi lama,Versi baru kenapa selalu forcedown sendirikeluar sendiri Lebih ok versi lama
Lumayan bagus,Lumayan bagus
"Bintang nya saya rubah kembali , ini knp gk bisa buka di hp ya hadeuh . Saya mengerjakan tugas jadi gk bisa di hp harus di buka di laptop/pc katanya",Bintang nya saya rubah kembali  ini knp gk bisa buka di hp ya hadeuh  Saya mengerjakan tugas jadi gk bisa di hp harus di buka di laptoppc katanya
"Ini gimana ya saya tiap mau masuk ke aplikasi nya langsung kluar sndiri, sudah reinstall ato coba hapus data juga tetep, tlong bantuannya saya butuhh sekali",Ini gimana ya saya tiap mau masuk ke aplikasi nya langsung kluar sndiri sudah reinstall ato coba hapus data juga tetep tlong bantuannya saya butuhh sekali
Tidak bisa login stiap kali login edlink berhenti sendiri,Tidak bisa login stiap kali login edlink berhenti sendiri
Ribet,Ribet
Aku kasih bintang 3 dl ya,Aku kasih bintang  dl ya
"Aplikasinya kenapa ya,setiap dibuka pasti langsung keluar lagi",Aplikasinya kenapa yasetiap dibuka pasti langsung keluar lagi
Good,Good
Saya membantu untuk aktif di kampus,Saya membantu untuk aktif di kampus
Sangat membantu,Sangat membantu
Aplikasinya setelah di update tidak bisa lagi di buka,Aplikasinya setelah di update tidak bisa lagi di buka
"Ketika apk dah di login nin mengunakan Nim, sudah masuk terus bufring keluar dengan sendirinya",Ketika apk dah di login nin mengunakan Nim sudah masuk terus bufring keluar dengan sendirinya
"aplikasinya ga bisa dibuka, kuliah pun jadi keganggu",aplikasinya ga bisa dibuka kuliah pun jadi keganggu
Good,Good
Tidak bisa download pdf,Tidak bisa download pdf
Buat scan barcode absen ga bisa sama sekali,Buat scan barcode absen ga bisa sama sekali
"Kok Edlink saya nggak bisa dibuka ya? Tiap saya masuk pasti keluar terus. Tolong solusinya dong, sayang klw ketinggalan perkuliahan kan!!",Kok Edlink saya nggak bisa dibuka ya Tiap saya masuk pasti keluar terus Tolong solusinya dong sayang klw ketinggalan perkuliahan kan
Cepat dan mudah digunakan,Cepat dan mudah digunakan
Penggunaan yang baik untuk mahasiswa,Penggunaan yang baik untuk mahasiswa
Baguss,Baguss
Sangat memuaskan,Sangat memuaskan
Aplikasi yang sangat bermanfaat untuk mahasiswa dan perkuliahannya.,Aplikasi yang sangat bermanfaat untuk mahasiswa dan perkuliahannya
Kenapa z tidak bisah install,Kenapa z tidak bisah install
Edlink sangat membantu Dosen dan Mahasiswa dalam Proses Belajar Mengajar. Terima Kasih Edlink,Edlink sangat membantu Dosen dan Mahasiswa dalam Proses Belajar Mengajar Terima Kasih Edlink
Sangat membantu belajar online.,Sangat membantu belajar online
Memudahkan informasi perkuliahan,Memudahkan informasi perkuliahan
"Kualitas Aplikasi Sangat jelek, loading lama padahal jaringan wifi lancar, banyak bug, nilai dan beberapa fitur tidak muncul dan hanya loading, jelek",Kualitas Aplikasi Sangat jelek loading lama padahal jaringan wifi lancar banyak bug nilai dan beberapa fitur tidak muncul dan hanya loading jelek
Oke,Oke
Tadi lgi kuis tiba2 obtionnya loading sampai kehabisan waktu😭,Tadi lgi kuis tiba obtionnya loading sampai kehabisan waktu
Aplikasi sangat bagus untuk pantau informasi kuliah,Aplikasi sangat bagus untuk pantau informasi kuliah
Top banget,Top banget
Sangat baik,Sangat baik
Knpa aplikasi edlink tdk bisa install?,Knpa aplikasi edlink tdk bisa install
Aplikasinya sangat bagus,Aplikasinya sangat bagus
"Semakin parah File PDF yang ingin saya kirim tidak muncul di edlink, padahal di aplikasi lain muncul. Saya habis waktu 15 menit hanya untuk mencari file yg jelas"" Namanya beda. Bahkan saya mencari lebih dari 10x hanya untuk mencari file saya. Tolong ditingkatkan jangan malah semakin menurun. Soalnya ini bersangkutan dengan nilai saya pak 😭",Semakin parah File PDF yang ingin saya kirim tidak muncul di edlink padahal di aplikasi lain muncul Saya habis waktu  menit hanya untuk mencari file yg jelas Namanya beda Bahkan saya mencari lebih dari x hanya untuk mencari file saya Tolong ditingkatkan jangan malah semakin menurun Soalnya ini bersangkutan dengan nilai saya pak
Good,Good
"Kenapa ya,aku mau upload tugas dari tadi muter trus padahal penyimpanan gak penuh,wifi juga lancar... Kemarin2 juga lancar gak kenapa2",Kenapa yaaku mau upload tugas dari tadi muter trus padahal penyimpanan gak penuhwifi juga lancar Kemarin juga lancar gak kenapa
"Oke udah lumayan, bintang 4 dulu yah. Nanti kalau memuaskan kasi bintang 5",Oke udah lumayan bintang  dulu yah Nanti kalau memuaskan kasi bintang
🙏,
"Tampilan keren, biar makin mudah dalam pelaksanaan tugas. Mantep sekali yah min..",Tampilan keren biar makin mudah dalam pelaksanaan tugas Mantep sekali yah min
Aplikasi Edlink ini sangat membantu aku banget dalam urusan belajar lewat online 🥰🥰🥰🥰,Aplikasi Edlink ini sangat membantu aku banget dalam urusan belajar lewat online 🥰🥰🥰🥰
Sering Ngebug,Sering Ngebug
aplikasinya bagus banget banyak fitur-fitur yang dimiliki namun satu saja yaitu terkait penyimpanan tugas yang susah aja.,aplikasinya bagus banget banyak fiturfitur yang dimiliki namun satu saja yaitu terkait penyimpanan tugas yang susah aja
"Keren nich app nya, samasekali ga berat, mudah dipahami dan yg terpenting sangat membantu saya terimakasih EdLink",Keren nich app nya samasekali ga berat mudah dipahami dan yg terpenting sangat membantu saya terimakasih EdLink
"pke edlink, belajar jadi lebih mudah dan menyenangkan. semoga fitur2nya bisa lebih banyak lagi",pke edlink belajar jadi lebih mudah dan menyenangkan semoga fiturnya bisa lebih banyak lagi
"Perkuliahan daring jadi mudah dengan aplikasi ini , fitur fitur nya sangat mendukung banget , proses belajar lebih efektif dan teratur.",Perkuliahan daring jadi mudah dengan aplikasi ini  fitur fitur nya sangat mendukung banget  proses belajar lebih efektif dan teratur
Aplikasinya sangat bagus..membantu banget untuk Saya dan dosen Saya berinteraksi secara online,Aplikasinya sangat bagusmembantu banget untuk Saya dan dosen Saya berinteraksi secara online
"edlink sangat bagus, aplikasi yg bisa diandalkan untuk yg mau belajar di rumah. banyak fitur yg sangat dibutuhkan utk belajar. mantap",edlink sangat bagus aplikasi yg bisa diandalkan untuk yg mau belajar di rumah banyak fitur yg sangat dibutuhkan utk belajar mantap
"Sekarang belajar apapun jadi makin mudah , apalagi ada nya aplikasi Edlink !!!""",Sekarang belajar apapun jadi makin mudah  apalagi ada nya aplikasi Edlink
Aplikasi untuk belajar online yang bagus dan recommended. Aplikasi mudah si gunakan dan di pahami. Sangat membantu dalam kegiatan belajar seperti diskusi kelas dan video conference kelas. Bisa digunakan kapanpun dan di manapun. Mantap banget.,Aplikasi untuk belajar online yang bagus dan recommended Aplikasi mudah si gunakan dan di pahami Sangat membantu dalam kegiatan belajar seperti diskusi kelas dan video conference kelas Bisa digunakan kapanpun dan di manapun Mantap banget
"Berbagai informasi materi perkuliahan atau pelajaran yang membantu mahasiswa dan dosen membuat tugas dengan lebih mudah dengan fitur yang menarik diantaranya membuat forum diskusi, pemberian tugas, live conference yang semuanya dilakukan secara online.",Berbagai informasi materi perkuliahan atau pelajaran yang membantu mahasiswa dan dosen membuat tugas dengan lebih mudah dengan fitur yang menarik diantaranya membuat forum diskusi pemberian tugas live conference yang semuanya dilakukan secara online
"aplikasi yang sangat membantu sekali dalam proses belajar online maupun dirumah ,rekomendasi sekali",aplikasi yang sangat membantu sekali dalam proses belajar online maupun dirumah rekomendasi sekali
Aplikasi nya lancar saat digunakan. Fitur lengkap dan tampilan nya bersih dan bagus. Recommended 👍,Aplikasi nya lancar saat digunakan Fitur lengkap dan tampilan nya bersih dan bagus Recommended
"Belajar lebih mudah dengan aplikasi edlink ini, bisa belajar dimana saja",Belajar lebih mudah dengan aplikasi edlink ini bisa belajar dimana saja
Aplikasi yang sangat membantu sekali untuk belajar secara onlain atau ngerjain tugas dan kirim tugas fitur yang mudah di fahami recomended banget apk y,Aplikasi yang sangat membantu sekali untuk belajar secara onlain atau ngerjain tugas dan kirim tugas fitur yang mudah di fahami recomended banget apk y
"Penggunaan nya mudah , sangat membantu, mohon ditingkat kan ya, khususnya untuk kapasitas penyimpanan supaya lebih oke lagi",Penggunaan nya mudah  sangat membantu mohon ditingkat kan ya khususnya untuk kapasitas penyimpanan supaya lebih oke lagi
"aplikasinya bagus, mempermudah kinerja guru dan dosen dalam proses pembelajaran online. tampilannya juga menarik sehingga tidak membosan kan",aplikasinya bagus mempermudah kinerja guru dan dosen dalam proses pembelajaran online tampilannya juga menarik sehingga tidak membosan kan
"Aplikasinya bagus dan keren,mudah dipahami,bisa buat kerja tugas, recommended",Aplikasinya bagus dan kerenmudah dipahamibisa buat kerja tugas recommended
"aplikasi EdLink,aplikasi nyaa bagus banget rekomendasi banget buat menambah nambah ilmu pelajaran,dijamin asal kan kita mau belajar di aplikasi ini,dijamin bakal ngertii sampai paham,pokoknya the best",aplikasi EdLinkaplikasi nyaa bagus banget rekomendasi banget buat menambah nambah ilmu pelajarandijamin asal kan kita mau belajar di aplikasi inidijamin bakal ngertii sampai pahampokoknya the best
"Aplikasinya mudah dimengerti, jarang troble, mudah dipahami",Aplikasinya mudah dimengerti jarang troble mudah dipahami
Alhamdulillah masih setia dengan aplikasi ini,Alhamdulillah masih setia dengan aplikasi ini
"hmm sangat membantu sekali apk ini,karna mempermudah menghapus file"" yg sudah tidak terpakai",hmm sangat membantu sekali apk inikarna mempermudah menghapus file yg sudah tidak terpakai
"Gampang bgt dipakenya, apalg saya masih kulon apk ini beneran ngebantu disediain jadwal kuliah jd gk pernah ketinggalan",Gampang bgt dipakenya apalg saya masih kulon apk ini beneran ngebantu disediain jadwal kuliah jd gk pernah ketinggalan
"Belajar via online jadi mudah pakai aplikasi ini, sangat membantu pokoknya recommended",Belajar via online jadi mudah pakai aplikasi ini sangat membantu pokoknya recommended
"Applikasi Sangat mudah digunakan dan dijalankan,sangat membantu dalam urusan perkuliahan saya. Teman juga sudah banyak yang pakai applikasi ini",Applikasi Sangat mudah digunakan dan dijalankansangat membantu dalam urusan perkuliahan saya Teman juga sudah banyak yang pakai applikasi ini
"Keren aplikasinya, kuliah jadi tambah gampang bisa kapan dan dimana aja",Keren aplikasinya kuliah jadi tambah gampang bisa kapan dan dimana aja
"EdLing sangat membantu sekali dalam perkuliahan apalagi masa sekarang untuk interaksi secara online.aplikasinya mudah untuk di fahami fiturnya juga cukup menarik, tapi kadang suka ada error' waktu mau masuk aplknya, semoga kedepannya dapat lebih di perbaiki ka untuk kenyamanan penggunanya,terima kasih..",EdLing sangat membantu sekali dalam perkuliahan apalagi masa sekarang untuk interaksi secara onlineaplikasinya mudah untuk di fahami fiturnya juga cukup menarik tapi kadang suka ada error waktu mau masuk aplknya semoga kedepannya dapat lebih di perbaiki ka untuk kenyamanan penggunanyaterima kasih
"Sangat menyukainya Untuk Aplikasi Ini, karena ini sangat tepat digunakan dalam Berbagai Macam Hal Salah Satunya Untuk Diwaktu Kuliah Aplikasi Ini Sangat Berguna. Sukses terus EdLink",Sangat menyukainya Untuk Aplikasi Ini karena ini sangat tepat digunakan dalam Berbagai Macam Hal Salah Satunya Untuk Diwaktu Kuliah Aplikasi Ini Sangat Berguna Sukses terus EdLink
"Aplikasinya sangat memudahkan dalam pembelajaran online, penggunaannya juga mudah dipahami.",Aplikasinya sangat memudahkan dalam pembelajaran online penggunaannya juga mudah dipahami
"Berbagi informasi, data,media dll menjadi lebih mudah,sedikit masalah di login agak lama,selebihnya ok..",Berbagi informasi datamedia dll menjadi lebih mudahsedikit masalah di login agak lamaselebihnya ok
"Awalnya difikir g membantu..ternyata sangat mempermudah dalam mengumpulkan tugas2 kuliah ..,moga dengan makin banyak fitur banyak manfaatnya juga..",Awalnya difikir g membantuternyata sangat mempermudah dalam mengumpulkan tugas kuliah moga dengan makin banyak fitur banyak manfaatnya juga
EdLink ini membantu saya sekali dalam sistem pembelajaran online selama pemakaian jangka panjang overall puad pake EdLink,EdLink ini membantu saya sekali dalam sistem pembelajaran online selama pemakaian jangka panjang overall puad pake EdLink
"Aplikasi nya bermanfaat bnget ini sihh, kalian wajib cobain aplikasi ini",Aplikasi nya bermanfaat bnget ini sihh kalian wajib cobain aplikasi ini
"Aplikasinya bagus nih sangat membantu dalam pembelajaran online, mudah lg digunakan.",Aplikasinya bagus nih sangat membantu dalam pembelajaran online mudah lg digunakan
"Sangat rekomended skali nih bagi anak skolah,kuliahan sekalipun dosen soal nya bisa nyimpen materi gk ribet hrus bawa2 buku atau poto copy an",Sangat rekomended skali nih bagi anak skolahkuliahan sekalipun dosen soal nya bisa nyimpen materi gk ribet hrus bawa buku atau poto copy an
Saya kasih bintang 5 untuk aplikasi Edlink karena sudah bagus dan mudah di gunakan,Saya kasih bintang  untuk aplikasi Edlink karena sudah bagus dan mudah di gunakan
"Saya sangat menyukai aplikasi ini karena aplikasi edlink ini sangat membantu, dengan aplikasi ini saya bisa Berbagi informasi, materi perkuliahan , dan menjadikan tugas lebih mudah.",Saya sangat menyukai aplikasi ini karena aplikasi edlink ini sangat membantu dengan aplikasi ini saya bisa Berbagi informasi materi perkuliahan  dan menjadikan tugas lebih mudah
Wah bagus banget kak aplikasi nya mbantu aku dalam menyelesaikan soal wawancara ujian tesis,Wah bagus banget kak aplikasi nya mbantu aku dalam menyelesaikan soal wawancara ujian tesis
Sangat membantu untuk sistem pembelajaran masa sekarng ..,Sangat membantu untuk sistem pembelajaran masa sekarng
"Aplikasinya bagus dan membantu banget buat belajar online, apalagi masi waktu pandemi",Aplikasinya bagus dan membantu banget buat belajar online apalagi masi waktu pandemi
Dengan aplikasi EdLink berbagi informasi dengan teman2 dan tugas dalam kelas jadi mudah.,Dengan aplikasi EdLink berbagi informasi dengan teman dan tugas dalam kelas jadi mudah
"Aplikasinya semakin bagus,terus ditingkatkan ya ,,",Aplikasinya semakin bagusterus ditingkatkan ya
