content,content_clean,content_preprocessing
Jelek banget aplikasinya makanya sayah kasih 5 bintang,jelek banget aplikasinya makanya sayah kasih  bintang,"['jelek', 'banget', 'aplikasinya', 'makanya', 'sayah', 'kasih', 'bintang']"
Saya tiap ada pelajaran online join zoom via Edlink😤😤Selalu gak bisa😤malah jadi kayak error kluar zoom mulu Tolong diperbaiki,saya tiap ada pelajaran online join zoom via edlinkselalu gak bisamalah jadi kayak error kluar zoom mulu tolong diperbaiki,"['saya', 'tiap', 'ada', 'pelajaran', 'online', 'join', 'zoom', 'via', 'edlinkselalu', 'gak', 'bisamalah', 'jadi', 'kayak', 'error', 'kluar', 'zoom', 'mulu', 'tolong', 'diperbaiki']"
woi kelas gw ilang semua asu gimana mau ngumpulin tugas bgst,woi kelas gw ilang semua asu gimana mau ngumpulin tugas bgst,"['woi', 'kelas', 'gw', 'ilang', 'semua', 'asu', 'gimana', 'mau', 'ngumpulin', 'tugas', 'bgst']"
Dosen gak masuk suruh absensi pakai edlink scane barcode tapi gak bisa 😭,dosen gak masuk suruh absensi pakai edlink scane barcode tapi gak bisa,"['dosen', 'gak', 'masuk', 'suruh', 'absensi', 'pakai', 'edlink', 'scane', 'barcode', 'tapi', 'gak', 'bisa']"
"Tolong tambahkan fitur zoom untuk presensi QR nya, saya malas ke depan.",tolong tambahkan fitur zoom untuk presensi qr nya saya malas ke depan,"['tolong', 'tambahkan', 'fitur', 'zoom', 'untuk', 'presensi', 'qr', 'nya', 'saya', 'malas', 'ke', 'depan']"
Baik,baik,['baik']
"kendala saya tidak bisa scan barcode asben,jadi absen harus langsung ke dosen gimana ya?",kendala saya tidak bisa scan barcode asbenjadi absen harus langsung ke dosen gimana ya,"['kendala', 'saya', 'tidak', 'bisa', 'scan', 'barcode', 'asbenjadi', 'absen', 'harus', 'langsung', 'ke', 'dosen', 'gimana', 'ya']"
الحمد لله Mantap,الحمد لله mantap,"['الحمد', 'لله', 'mantap']"
"Kenapa akun ku tiba2 kluar, stelah masuk kembali ke akun kenapa semua data sya terhapus",kenapa akun ku tiba kluar stelah masuk kembali ke akun kenapa semua data sya terhapus,"['kenapa', 'akun', 'ku', 'tiba', 'kluar', 'stelah', 'masuk', 'kembali', 'ke', 'akun', 'kenapa', 'semua', 'data', 'sya', 'terhapus']"
ini knp ya aku mau masuk ke apknya tapi loading trs padahal make WiFi,ini knp ya aku mau masuk ke apknya tapi loading trs padahal make wifi,"['ini', 'knp', 'ya', 'aku', 'mau', 'masuk', 'ke', 'apknya', 'tapi', 'loading', 'trs', 'padahal', 'make', 'wifi']"
"apk nya kalo lagi buru buru mau dibuka malah ga kebuka buka cuma loading doang lama , padahal wifi kenceng , ga jelas",apk nya kalo lagi buru buru mau dibuka malah ga kebuka buka cuma loading doang lama  padahal wifi kenceng  ga jelas,"['apk', 'nya', 'kalo', 'lagi', 'buru', 'buru', 'mau', 'dibuka', 'malah', 'ga', 'kebuka', 'buka', 'cuma', 'loading', 'doang', 'lama', 'padahal', 'wifi', 'kenceng', 'ga', 'jelas']"
"Sangat buruk, untuk ganti pasword saja sulit, mepet deadline suka eror,",sangat buruk untuk ganti pasword saja sulit mepet deadline suka eror,"['sangat', 'buruk', 'untuk', 'ganti', 'pasword', 'saja', 'sulit', 'mepet', 'deadline', 'suka', 'eror']"
Ok 👌 mantap 👍👍,ok  mantap,"['ok', 'mantap']"
Dowload mteri filenya rusak mulu,dowload mteri filenya rusak mulu,"['dowload', 'mteri', 'filenya', 'rusak', 'mulu']"
Ini gmn yak saya mau login tetapi email yg saya masukkin sudah digunakan terus pdhl saya belum pernah masuk dgn email tersebut. Di web siakad sudah saya cantumkan sesuai email saya. Tolong dong gmnnnnn...,ini gmn yak saya mau login tetapi email yg saya masukkin sudah digunakan terus pdhl saya belum pernah masuk dgn email tersebut di web siakad sudah saya cantumkan sesuai email saya tolong dong gmnnnnn,"['ini', 'gmn', 'yak', 'saya', 'mau', 'login', 'tetapi', 'email', 'yg', 'saya', 'masukkin', 'sudah', 'digunakan', 'terus', 'pdhl', 'saya', 'belum', 'pernah', 'masuk', 'dgn', 'email', 'tersebut', 'di', 'web', 'siakad', 'sudah', 'saya', 'cantumkan', 'sesuai', 'email', 'saya', 'tolong', 'dong', 'gmnnnnn']"
kenapa tidak bisa di buka di hp saya?awalnya baik2 saja,kenapa tidak bisa di buka di hp sayaawalnya baik saja,"['kenapa', 'tidak', 'bisa', 'di', 'buka', 'di', 'hp', 'sayaawalnya', 'baik', 'saja']"
Bagus,bagus,['bagus']
Masa cuma gua dong kaga bisa aplod tugas Sedangkan temen gua pada bisa aplod tugas Tolong di perbaikin lagih,masa cuma gua dong kaga bisa aplod tugas sedangkan temen gua pada bisa aplod tugas tolong di perbaikin lagih,"['masa', 'cuma', 'gua', 'dong', 'kaga', 'bisa', 'aplod', 'tugas', 'sedangkan', 'temen', 'gua', 'pada', 'bisa', 'aplod', 'tugas', 'tolong', 'di', 'perbaikin', 'lagih']"
Wuiz bagus by fajar lazuardi,wuiz bagus by fajar lazuardi,"['wuiz', 'bagus', 'by', 'fajar', 'lazuardi']"
Bagus semoga lebih baik lgi,bagus semoga lebih baik lgi,"['bagus', 'semoga', 'lebih', 'baik', 'lgi']"
"Pas buka materi gak bisa kebuka, tulisanya ""berkas sedang di unduh"" tapi gak ada berkas yang bisa di buka aneh banget",pas buka materi gak bisa kebuka tulisanya berkas sedang di unduh tapi gak ada berkas yang bisa di buka aneh banget,"['pas', 'buka', 'materi', 'gak', 'bisa', 'kebuka', 'tulisanya', 'berkas', 'sedang', 'di', 'unduh', 'tapi', 'gak', 'ada', 'berkas', 'yang', 'bisa', 'di', 'buka', 'aneh', 'banget']"
Aplikasi nya kenapa ya sering banget loading nya lamaaaaaa pas buka app,aplikasi nya kenapa ya sering banget loading nya lamaaaaaa pas buka app,"['aplikasi', 'nya', 'kenapa', 'ya', 'sering', 'banget', 'loading', 'nya', 'lamaaaaaa', 'pas', 'buka', 'app']"
Jelek banget ini aplikasi nyusahin orang aja,jelek banget ini aplikasi nyusahin orang aja,"['jelek', 'banget', 'ini', 'aplikasi', 'nyusahin', 'orang', 'aja']"
Gbisa donlot,gbisa donlot,"['gbisa', 'donlot']"
Sevima kenapa yaa baru download langsung keluar lagi,sevima kenapa yaa baru download langsung keluar lagi,"['sevima', 'kenapa', 'yaa', 'baru', 'download', 'langsung', 'keluar', 'lagi']"
"Inpo Bantuan dong , edlink saya eror dan tak bIsa amasuk lagi ke akun saya",inpo bantuan dong  edlink saya eror dan tak bisa amasuk lagi ke akun saya,"['inpo', 'bantuan', 'dong', 'edlink', 'saya', 'eror', 'dan', 'tak', 'bisa', 'amasuk', 'lagi', 'ke', 'akun', 'saya']"
Lumayan,lumayan,['lumayan']
Good banget yaaa,good banget yaaa,"['good', 'banget', 'yaaa']"
"Masukin kode verifikasi gagal teru, Jadi bolos absen jadinya, mau sampai semester selesai?",masukin kode verifikasi gagal teru jadi bolos absen jadinya mau sampai semester selesai,"['masukin', 'kode', 'verifikasi', 'gagal', 'teru', 'jadi', 'bolos', 'absen', 'jadinya', 'mau', 'sampai', 'semester', 'selesai']"
Good,good,['good']
mantap,mantap,['mantap']
"setelah di update, opsi data akademik nya malah di hapus padhal sangat membantu",setelah di update opsi data akademik nya malah di hapus padhal sangat membantu,"['setelah', 'di', 'update', 'opsi', 'data', 'akademik', 'nya', 'malah', 'di', 'hapus', 'padhal', 'sangat', 'membantu']"
"sayangilah orang lain seperti kita menyayangi diri sendiri. berkatalah yang benar meskipun itu pahit, siapa yang banyak menyebut sesuatu maka sungguh dia banyak menyebutnya. jangan berhenti berbuat baik walaupun sesulit apapun. jadilah diri sendiri. jangan bersedih kepada sesuatu hal yang tidak patut kau tangisi, berbagilah ilmu walu satu ayat, jangan pernah menghinakan orang lain, karena itu sangat menyakitkan bagi dirimu dan orang lain.. bertaqwalah kepada allah jangan pernah berhenti.. jaya",sayangilah orang lain seperti kita menyayangi diri sendiri berkatalah yang benar meskipun itu pahit siapa yang banyak menyebut sesuatu maka sungguh dia banyak menyebutnya jangan berhenti berbuat baik walaupun sesulit apapun jadilah diri sendiri jangan bersedih kepada sesuatu hal yang tidak patut kau tangisi berbagilah ilmu walu satu ayat jangan pernah menghinakan orang lain karena itu sangat menyakitkan bagi dirimu dan orang lain bertaqwalah kepada allah jangan pernah berhenti jaya,"['sayangilah', 'orang', 'lain', 'seperti', 'kita', 'menyayangi', 'diri', 'sendiri', 'berkatalah', 'yang', 'benar', 'meskipun', 'itu', 'pahit', 'siapa', 'yang', 'banyak', 'menyebut', 'sesuatu', 'maka', 'sungguh', 'dia', 'banyak', 'menyebutnya', 'jangan', 'berhenti', 'berbuat', 'baik', 'walaupun', 'sesulit', 'apapun', 'jadilah', 'diri', 'sendiri', 'jangan', 'bersedih', 'kepada', 'sesuatu', 'hal', 'yang', 'tidak', 'patut', 'kau', 'tangisi', 'berbagilah', 'ilmu', 'walu', 'satu', 'ayat', 'jangan', 'pernah', 'menghinakan', 'orang', 'lain', 'karena', 'itu', 'sangat', 'menyakitkan', 'bagi', 'dirimu', 'dan', 'orang', 'lain', 'bertaqwalah', 'kepada', 'allah', 'jangan', 'pernah', 'berhenti', 'jaya']"
"gimana si edlink ini malah force close terus gabisa masuk, dari dulu gaada perbaikan bug",gimana si edlink ini malah force close terus gabisa masuk dari dulu gaada perbaikan bug,"['gimana', 'si', 'edlink', 'ini', 'malah', 'force', 'close', 'terus', 'gabisa', 'masuk', 'dari', 'dulu', 'gaada', 'perbaikan', 'bug']"
Setelah di-update tidak bisa melihat Akreditasi. Mohon agar menu ini dimunculkan kembali seperti versi sebelumnya. Terimakasih.,setelah diupdate tidak bisa melihat akreditasi mohon agar menu ini dimunculkan kembali seperti versi sebelumnya terimakasih,"['setelah', 'diupdate', 'tidak', 'bisa', 'melihat', 'akreditasi', 'mohon', 'agar', 'menu', 'ini', 'dimunculkan', 'kembali', 'seperti', 'versi', 'sebelumnya', 'terimakasih']"
Sangat membantu untuk mahasiswa,sangat membantu untuk mahasiswa,"['sangat', 'membantu', 'untuk', 'mahasiswa']"
Masukkan kode verifikasi sudah benar tapi di baca sama aplikasi salah... Berulang gt trus,masukkan kode verifikasi sudah benar tapi di baca sama aplikasi salah berulang gt trus,"['masukkan', 'kode', 'verifikasi', 'sudah', 'benar', 'tapi', 'di', 'baca', 'sama', 'aplikasi', 'salah', 'berulang', 'gt', 'trus']"
aplikasi sering buffering padahal koneksi internet lancar,aplikasi sering buffering padahal koneksi internet lancar,"['aplikasi', 'sering', 'buffering', 'padahal', 'koneksi', 'internet', 'lancar']"
"Saya sedikit curhat, Waktu dikampus saya Ada absen pakai Code QR, cuman Pas saya arahin Kamera ke codenya malah Buram alias tidak bisa scan ,hal hasil saya sendiri Ga bisa absen Tolong Solusinya😭",saya sedikit curhat waktu dikampus saya ada absen pakai code qr cuman pas saya arahin kamera ke codenya malah buram alias tidak bisa scan hal hasil saya sendiri ga bisa absen tolong solusinya,"['saya', 'sedikit', 'curhat', 'waktu', 'dikampus', 'saya', 'ada', 'absen', 'pakai', 'code', 'qr', 'cuman', 'pas', 'saya', 'arahin', 'kamera', 'ke', 'codenya', 'malah', 'buram', 'alias', 'tidak', 'bisa', 'scan', 'hal', 'hasil', 'saya', 'sendiri', 'ga', 'bisa', 'absen', 'tolong', 'solusinya']"
Saya mengikuti prosedur,saya mengikuti prosedur,"['saya', 'mengikuti', 'prosedur']"
"sangat buruk ,mending beralih buatan kampus sendiri malah di ganti ke pemerintah",sangat buruk mending beralih buatan kampus sendiri malah di ganti ke pemerintah,"['sangat', 'buruk', 'mending', 'beralih', 'buatan', 'kampus', 'sendiri', 'malah', 'di', 'ganti', 'ke', 'pemerintah']"
Versi baru kenapa selalu forcedown sendiri/keluar sendiri? Lebih ok versi lama,versi baru kenapa selalu forcedown sendirikeluar sendiri lebih ok versi lama,"['versi', 'baru', 'kenapa', 'selalu', 'forcedown', 'sendirikeluar', 'sendiri', 'lebih', 'ok', 'versi', 'lama']"
Lumayan bagus,lumayan bagus,"['lumayan', 'bagus']"
"Bintang nya saya rubah kembali , ini knp gk bisa buka di hp ya hadeuh . Saya mengerjakan tugas jadi gk bisa di hp harus di buka di laptop/pc katanya",bintang nya saya rubah kembali  ini knp gk bisa buka di hp ya hadeuh  saya mengerjakan tugas jadi gk bisa di hp harus di buka di laptoppc katanya,"['bintang', 'nya', 'saya', 'rubah', 'kembali', 'ini', 'knp', 'gk', 'bisa', 'buka', 'di', 'hp', 'ya', 'hadeuh', 'saya', 'mengerjakan', 'tugas', 'jadi', 'gk', 'bisa', 'di', 'hp', 'harus', 'di', 'buka', 'di', 'laptoppc', 'katanya']"
"Ini gimana ya saya tiap mau masuk ke aplikasi nya langsung kluar sndiri, sudah reinstall ato coba hapus data juga tetep, tlong bantuannya saya butuhh sekali",ini gimana ya saya tiap mau masuk ke aplikasi nya langsung kluar sndiri sudah reinstall ato coba hapus data juga tetep tlong bantuannya saya butuhh sekali,"['ini', 'gimana', 'ya', 'saya', 'tiap', 'mau', 'masuk', 'ke', 'aplikasi', 'nya', 'langsung', 'kluar', 'sndiri', 'sudah', 'reinstall', 'ato', 'coba', 'hapus', 'data', 'juga', 'tetep', 'tlong', 'bantuannya', 'saya', 'butuhh', 'sekali']"
Tidak bisa login stiap kali login edlink berhenti sendiri,tidak bisa login stiap kali login edlink berhenti sendiri,"['tidak', 'bisa', 'login', 'stiap', 'kali', 'login', 'edlink', 'berhenti', 'sendiri']"
Ribet,ribet,['ribet']
Aku kasih bintang 3 dl ya,aku kasih bintang  dl ya,"['aku', 'kasih', 'bintang', 'dl', 'ya']"
"Aplikasinya kenapa ya,setiap dibuka pasti langsung keluar lagi",aplikasinya kenapa yasetiap dibuka pasti langsung keluar lagi,"['aplikasinya', 'kenapa', 'yasetiap', 'dibuka', 'pasti', 'langsung', 'keluar', 'lagi']"
Good,good,['good']
Saya membantu untuk aktif di kampus,saya membantu untuk aktif di kampus,"['saya', 'membantu', 'untuk', 'aktif', 'di', 'kampus']"
Sangat membantu,sangat membantu,"['sangat', 'membantu']"
Aplikasinya setelah di update tidak bisa lagi di buka,aplikasinya setelah di update tidak bisa lagi di buka,"['aplikasinya', 'setelah', 'di', 'update', 'tidak', 'bisa', 'lagi', 'di', 'buka']"
"Ketika apk dah di login nin mengunakan Nim, sudah masuk terus bufring keluar dengan sendirinya",ketika apk dah di login nin mengunakan nim sudah masuk terus bufring keluar dengan sendirinya,"['ketika', 'apk', 'dah', 'di', 'login', 'nin', 'mengunakan', 'nim', 'sudah', 'masuk', 'terus', 'bufring', 'keluar', 'dengan', 'sendirinya']"
"aplikasinya ga bisa dibuka, kuliah pun jadi keganggu",aplikasinya ga bisa dibuka kuliah pun jadi keganggu,"['aplikasinya', 'ga', 'bisa', 'dibuka', 'kuliah', 'pun', 'jadi', 'keganggu']"
Good,good,['good']
Tidak bisa download pdf,tidak bisa download pdf,"['tidak', 'bisa', 'download', 'pdf']"
Buat scan barcode absen ga bisa sama sekali,buat scan barcode absen ga bisa sama sekali,"['buat', 'scan', 'barcode', 'absen', 'ga', 'bisa', 'sama', 'sekali']"
"Kok Edlink saya nggak bisa dibuka ya? Tiap saya masuk pasti keluar terus. Tolong solusinya dong, sayang klw ketinggalan perkuliahan kan!!",kok edlink saya nggak bisa dibuka ya tiap saya masuk pasti keluar terus tolong solusinya dong sayang klw ketinggalan perkuliahan kan,"['kok', 'edlink', 'saya', 'nggak', 'bisa', 'dibuka', 'ya', 'tiap', 'saya', 'masuk', 'pasti', 'keluar', 'terus', 'tolong', 'solusinya', 'dong', 'sayang', 'klw', 'ketinggalan', 'perkuliahan', 'kan']"
Cepat dan mudah digunakan,cepat dan mudah digunakan,"['cepat', 'dan', 'mudah', 'digunakan']"
Penggunaan yang baik untuk mahasiswa,penggunaan yang baik untuk mahasiswa,"['penggunaan', 'yang', 'baik', 'untuk', 'mahasiswa']"
Baguss,baguss,['baguss']
Sangat memuaskan,sangat memuaskan,"['sangat', 'memuaskan']"
Aplikasi yang sangat bermanfaat untuk mahasiswa dan perkuliahannya.,aplikasi yang sangat bermanfaat untuk mahasiswa dan perkuliahannya,"['aplikasi', 'yang', 'sangat', 'bermanfaat', 'untuk', 'mahasiswa', 'dan', 'perkuliahannya']"
Kenapa z tidak bisah install,kenapa z tidak bisah install,"['kenapa', 'z', 'tidak', 'bisah', 'install']"
Edlink sangat membantu Dosen dan Mahasiswa dalam Proses Belajar Mengajar. Terima Kasih Edlink,edlink sangat membantu dosen dan mahasiswa dalam proses belajar mengajar terima kasih edlink,"['edlink', 'sangat', 'membantu', 'dosen', 'dan', 'mahasiswa', 'dalam', 'proses', 'belajar', 'mengajar', 'terima', 'kasih', 'edlink']"
Sangat membantu belajar online.,sangat membantu belajar online,"['sangat', 'membantu', 'belajar', 'online']"
Memudahkan informasi perkuliahan,memudahkan informasi perkuliahan,"['memudahkan', 'informasi', 'perkuliahan']"
"Kualitas Aplikasi Sangat jelek, loading lama padahal jaringan wifi lancar, banyak bug, nilai dan beberapa fitur tidak muncul dan hanya loading, jelek",kualitas aplikasi sangat jelek loading lama padahal jaringan wifi lancar banyak bug nilai dan beberapa fitur tidak muncul dan hanya loading jelek,"['kualitas', 'aplikasi', 'sangat', 'jelek', 'loading', 'lama', 'padahal', 'jaringan', 'wifi', 'lancar', 'banyak', 'bug', 'nilai', 'dan', 'beberapa', 'fitur', 'tidak', 'muncul', 'dan', 'hanya', 'loading', 'jelek']"
Oke,oke,['oke']
Tadi lgi kuis tiba2 obtionnya loading sampai kehabisan waktu😭,tadi lgi kuis tiba obtionnya loading sampai kehabisan waktu,"['tadi', 'lgi', 'kuis', 'tiba', 'obtionnya', 'loading', 'sampai', 'kehabisan', 'waktu']"
Aplikasi sangat bagus untuk pantau informasi kuliah,aplikasi sangat bagus untuk pantau informasi kuliah,"['aplikasi', 'sangat', 'bagus', 'untuk', 'pantau', 'informasi', 'kuliah']"
Top banget,top banget,"['top', 'banget']"
Sangat baik,sangat baik,"['sangat', 'baik']"
Knpa aplikasi edlink tdk bisa install?,knpa aplikasi edlink tdk bisa install,"['knpa', 'aplikasi', 'edlink', 'tdk', 'bisa', 'install']"
Aplikasinya sangat bagus,aplikasinya sangat bagus,"['aplikasinya', 'sangat', 'bagus']"
"Semakin parah File PDF yang ingin saya kirim tidak muncul di edlink, padahal di aplikasi lain muncul. Saya habis waktu 15 menit hanya untuk mencari file yg jelas"" Namanya beda. Bahkan saya mencari lebih dari 10x hanya untuk mencari file saya. Tolong ditingkatkan jangan malah semakin menurun. Soalnya ini bersangkutan dengan nilai saya pak 😭",semakin parah file pdf yang ingin saya kirim tidak muncul di edlink padahal di aplikasi lain muncul saya habis waktu  menit hanya untuk mencari file yg jelas namanya beda bahkan saya mencari lebih dari x hanya untuk mencari file saya tolong ditingkatkan jangan malah semakin menurun soalnya ini bersangkutan dengan nilai saya pak,"['semakin', 'parah', 'file', 'pdf', 'yang', 'ingin', 'saya', 'kirim', 'tidak', 'muncul', 'di', 'edlink', 'padahal', 'di', 'aplikasi', 'lain', 'muncul', 'saya', 'habis', 'waktu', 'menit', 'hanya', 'untuk', 'mencari', 'file', 'yg', 'jelas', 'namanya', 'beda', 'bahkan', 'saya', 'mencari', 'lebih', 'dari', 'x', 'hanya', 'untuk', 'mencari', 'file', 'saya', 'tolong', 'ditingkatkan', 'jangan', 'malah', 'semakin', 'menurun', 'soalnya', 'ini', 'bersangkutan', 'dengan', 'nilai', 'saya', 'pak']"
Good,good,['good']
"Kenapa ya,aku mau upload tugas dari tadi muter trus padahal penyimpanan gak penuh,wifi juga lancar... Kemarin2 juga lancar gak kenapa2",kenapa yaaku mau upload tugas dari tadi muter trus padahal penyimpanan gak penuhwifi juga lancar kemarin juga lancar gak kenapa,"['kenapa', 'yaaku', 'mau', 'upload', 'tugas', 'dari', 'tadi', 'muter', 'trus', 'padahal', 'penyimpanan', 'gak', 'penuhwifi', 'juga', 'lancar', 'kemarin', 'juga', 'lancar', 'gak', 'kenapa']"
"Oke udah lumayan, bintang 4 dulu yah. Nanti kalau memuaskan kasi bintang 5",oke udah lumayan bintang  dulu yah nanti kalau memuaskan kasi bintang,"['oke', 'udah', 'lumayan', 'bintang', 'dulu', 'yah', 'nanti', 'kalau', 'memuaskan', 'kasi', 'bintang']"
🙏,,[]
"Tampilan keren, biar makin mudah dalam pelaksanaan tugas. Mantep sekali yah min..",tampilan keren biar makin mudah dalam pelaksanaan tugas mantep sekali yah min,"['tampilan', 'keren', 'biar', 'makin', 'mudah', 'dalam', 'pelaksanaan', 'tugas', 'mantep', 'sekali', 'yah', 'min']"
Aplikasi Edlink ini sangat membantu aku banget dalam urusan belajar lewat online 🥰🥰🥰🥰,aplikasi edlink ini sangat membantu aku banget dalam urusan belajar lewat online 🥰🥰🥰🥰,"['aplikasi', 'edlink', 'ini', 'sangat', 'membantu', 'aku', 'banget', 'dalam', 'urusan', 'belajar', 'lewat', 'online', '🥰🥰🥰🥰']"
Sering Ngebug,sering ngebug,"['sering', 'ngebug']"
aplikasinya bagus banget banyak fitur-fitur yang dimiliki namun satu saja yaitu terkait penyimpanan tugas yang susah aja.,aplikasinya bagus banget banyak fiturfitur yang dimiliki namun satu saja yaitu terkait penyimpanan tugas yang susah aja,"['aplikasinya', 'bagus', 'banget', 'banyak', 'fiturfitur', 'yang', 'dimiliki', 'namun', 'satu', 'saja', 'yaitu', 'terkait', 'penyimpanan', 'tugas', 'yang', 'susah', 'aja']"
"Keren nich app nya, samasekali ga berat, mudah dipahami dan yg terpenting sangat membantu saya terimakasih EdLink",keren nich app nya samasekali ga berat mudah dipahami dan yg terpenting sangat membantu saya terimakasih edlink,"['keren', 'nich', 'app', 'nya', 'samasekali', 'ga', 'berat', 'mudah', 'dipahami', 'dan', 'yg', 'terpenting', 'sangat', 'membantu', 'saya', 'terimakasih', 'edlink']"
"pke edlink, belajar jadi lebih mudah dan menyenangkan. semoga fitur2nya bisa lebih banyak lagi",pke edlink belajar jadi lebih mudah dan menyenangkan semoga fiturnya bisa lebih banyak lagi,"['pke', 'edlink', 'belajar', 'jadi', 'lebih', 'mudah', 'dan', 'menyenangkan', 'semoga', 'fiturnya', 'bisa', 'lebih', 'banyak', 'lagi']"
"Perkuliahan daring jadi mudah dengan aplikasi ini , fitur fitur nya sangat mendukung banget , proses belajar lebih efektif dan teratur.",perkuliahan daring jadi mudah dengan aplikasi ini  fitur fitur nya sangat mendukung banget  proses belajar lebih efektif dan teratur,"['perkuliahan', 'daring', 'jadi', 'mudah', 'dengan', 'aplikasi', 'ini', 'fitur', 'fitur', 'nya', 'sangat', 'mendukung', 'banget', 'proses', 'belajar', 'lebih', 'efektif', 'dan', 'teratur']"
Aplikasinya sangat bagus..membantu banget untuk Saya dan dosen Saya berinteraksi secara online,aplikasinya sangat bagusmembantu banget untuk saya dan dosen saya berinteraksi secara online,"['aplikasinya', 'sangat', 'bagusmembantu', 'banget', 'untuk', 'saya', 'dan', 'dosen', 'saya', 'berinteraksi', 'secara', 'online']"
"edlink sangat bagus, aplikasi yg bisa diandalkan untuk yg mau belajar di rumah. banyak fitur yg sangat dibutuhkan utk belajar. mantap",edlink sangat bagus aplikasi yg bisa diandalkan untuk yg mau belajar di rumah banyak fitur yg sangat dibutuhkan utk belajar mantap,"['edlink', 'sangat', 'bagus', 'aplikasi', 'yg', 'bisa', 'diandalkan', 'untuk', 'yg', 'mau', 'belajar', 'di', 'rumah', 'banyak', 'fitur', 'yg', 'sangat', 'dibutuhkan', 'utk', 'belajar', 'mantap']"
"Sekarang belajar apapun jadi makin mudah , apalagi ada nya aplikasi Edlink !!!""",sekarang belajar apapun jadi makin mudah  apalagi ada nya aplikasi edlink,"['sekarang', 'belajar', 'apapun', 'jadi', 'makin', 'mudah', 'apalagi', 'ada', 'nya', 'aplikasi', 'edlink']"
Aplikasi untuk belajar online yang bagus dan recommended. Aplikasi mudah si gunakan dan di pahami. Sangat membantu dalam kegiatan belajar seperti diskusi kelas dan video conference kelas. Bisa digunakan kapanpun dan di manapun. Mantap banget.,aplikasi untuk belajar online yang bagus dan recommended aplikasi mudah si gunakan dan di pahami sangat membantu dalam kegiatan belajar seperti diskusi kelas dan video conference kelas bisa digunakan kapanpun dan di manapun mantap banget,"['aplikasi', 'untuk', 'belajar', 'online', 'yang', 'bagus', 'dan', 'recommended', 'aplikasi', 'mudah', 'si', 'gunakan', 'dan', 'di', 'pahami', 'sangat', 'membantu', 'dalam', 'kegiatan', 'belajar', 'seperti', 'diskusi', 'kelas', 'dan', 'video', 'conference', 'kelas', 'bisa', 'digunakan', 'kapanpun', 'dan', 'di', 'manapun', 'mantap', 'banget']"
"Berbagai informasi materi perkuliahan atau pelajaran yang membantu mahasiswa dan dosen membuat tugas dengan lebih mudah dengan fitur yang menarik diantaranya membuat forum diskusi, pemberian tugas, live conference yang semuanya dilakukan secara online.",berbagai informasi materi perkuliahan atau pelajaran yang membantu mahasiswa dan dosen membuat tugas dengan lebih mudah dengan fitur yang menarik diantaranya membuat forum diskusi pemberian tugas live conference yang semuanya dilakukan secara online,"['berbagai', 'informasi', 'materi', 'perkuliahan', 'atau', 'pelajaran', 'yang', 'membantu', 'mahasiswa', 'dan', 'dosen', 'membuat', 'tugas', 'dengan', 'lebih', 'mudah', 'dengan', 'fitur', 'yang', 'menarik', 'diantaranya', 'membuat', 'forum', 'diskusi', 'pemberian', 'tugas', 'live', 'conference', 'yang', 'semuanya', 'dilakukan', 'secara', 'online']"
"aplikasi yang sangat membantu sekali dalam proses belajar online maupun dirumah ,rekomendasi sekali",aplikasi yang sangat membantu sekali dalam proses belajar online maupun dirumah rekomendasi sekali,"['aplikasi', 'yang', 'sangat', 'membantu', 'sekali', 'dalam', 'proses', 'belajar', 'online', 'maupun', 'dirumah', 'rekomendasi', 'sekali']"
Aplikasi nya lancar saat digunakan. Fitur lengkap dan tampilan nya bersih dan bagus. Recommended 👍,aplikasi nya lancar saat digunakan fitur lengkap dan tampilan nya bersih dan bagus recommended,"['aplikasi', 'nya', 'lancar', 'saat', 'digunakan', 'fitur', 'lengkap', 'dan', 'tampilan', 'nya', 'bersih', 'dan', 'bagus', 'recommended']"
"Belajar lebih mudah dengan aplikasi edlink ini, bisa belajar dimana saja",belajar lebih mudah dengan aplikasi edlink ini bisa belajar dimana saja,"['belajar', 'lebih', 'mudah', 'dengan', 'aplikasi', 'edlink', 'ini', 'bisa', 'belajar', 'dimana', 'saja']"
Aplikasi yang sangat membantu sekali untuk belajar secara onlain atau ngerjain tugas dan kirim tugas fitur yang mudah di fahami recomended banget apk y,aplikasi yang sangat membantu sekali untuk belajar secara onlain atau ngerjain tugas dan kirim tugas fitur yang mudah di fahami recomended banget apk y,"['aplikasi', 'yang', 'sangat', 'membantu', 'sekali', 'untuk', 'belajar', 'secara', 'onlain', 'atau', 'ngerjain', 'tugas', 'dan', 'kirim', 'tugas', 'fitur', 'yang', 'mudah', 'di', 'fahami', 'recomended', 'banget', 'apk', 'y']"
"Penggunaan nya mudah , sangat membantu, mohon ditingkat kan ya, khususnya untuk kapasitas penyimpanan supaya lebih oke lagi",penggunaan nya mudah  sangat membantu mohon ditingkat kan ya khususnya untuk kapasitas penyimpanan supaya lebih oke lagi,"['penggunaan', 'nya', 'mudah', 'sangat', 'membantu', 'mohon', 'ditingkat', 'kan', 'ya', 'khususnya', 'untuk', 'kapasitas', 'penyimpanan', 'supaya', 'lebih', 'oke', 'lagi']"
